has_label_snail	label-dash	rangeIncludes	domainIncludes	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
job_immediate_start	job-immediate-start	Boolean	JobPosting	jobImmediateStart	pending:							An indicator as to whether a position is available for an immediate start.
multiple_value	multiple-value	Boolean	PropertyValueSpecification	multipleValues								Whether multiple values are allowed for the property.  Default is false.
public_access	public-access	Boolean	Place	publicAccess								A flag to signal that the <a class="localLink" href="/Place">Place</a> is open to public visitors.  If this property is omitted there is no assumed default boolean value
readonly	readonly-value	Boolean	PropertyValueSpecification	readonlyValue								Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a "hidden" input in an HTML form.
representative_of_page	representative-of-page	Boolean	ImageObject	representativeOfPage								Indicates whether this image is representative of the content of the page.
smoking_allowed	smoking-allowed	Boolean	Place	smokingAllowed								Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
value_added_tax_included	value-added-tax-included	Boolean	PriceSpecification	valueAddedTaxIncluded								Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.
value_required	value-required	Boolean	PropertyValueSpecification	valueRequired								Whether the property must be filled in to complete the action.  Default is false.
subscription_required	subscription-required	Boolean, MediaSubscription	ActionAccessSpecification, MediaObject	requiresSubscription								Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>true</code> or <code>false</code> (note that an earlier version had 'yes', 'no').
pet_allowed	pet-allowed	Boolean, Text	Accommodation, ApartmentComplex, FloorPlan, LodgingBusiness	petsAllowed								Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
reservation_accepted	reservation-accepted	Boolean, Text, URL	FoodEstablishment	acceptsReservations								Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.
prescribing_by_mail	has-prescription-by-mail	Boolean	HealthPlanFormulary	offersPrescriptionByMail	pending:							Whether prescriptions can be delivered by mail.
true	has-value	Boolean, Number, StructuredValue, Text	MonetaryAmount, PropertyValue, QuantitativeValue	value								The Truth-value of the Subject (an Assertion).
paying_cash_back	cash-back	Boolean, Number	PaymentCard	cashBack	pending:							A cardholder benefit that pays the cardholder a small percentage of their net expenditures.
paying_contactless	contactless-payment	Boolean	PaymentCard	contactlessPayment	pending:							A secure method for consumers to purchase products or services via debit, credit or smartcards by using RFID or NFC technology.
for_a_gift	gift	Boolean	Order	isGift								Indicates whether the offer was accepted as a gift for someone other than the buyer.
mortgage_domiciled	domiciled-mortgage	Boolean	MortgageLoan	domiciledMortgage	pending:							Whether borrower is a resident of the jurisdiction where the property is located.
loan_recourseable	recourse-loan	Boolean	LoanOrCredit	recourseLoan	pending:							The only way you get the money back in the event of default is the security. Recourse is where you still have the opportunity to go back to the borrower for the rest of the money.
loan_renegotiable	renegotiable-loan	Boolean	LoanOrCredit	renegotiableLoan	pending:							Whether the terms for payment of interest can be renegotiated during the life of the loan.
