Event	Start	Stop
Composition of the Rigveda is completed.	-1500	
Olmec civilization flourishes in Pre-Columbian Mexico, during Mesoamerica's Formative period.	-1500	-400
Oldest known song with notation.	-1400	
Hallstatt culture in Europe.	-1200	-450
Bronze Age collapse occurs in Southwestern Asia and in the Eastern Mediterranean region. This period is also the setting of the Iliad and the Odyssey epic poems (which were composed about four centuries later).	-1200	-1150
Hittite Empire	-1650	-1180
Use of Iron spreads.	-1100	
The Phoenician alphabet is created.	-1050	
The Zhou force (led by King Wu of Zhou) overthrow the last king of Shang dynasty; Zhou dynasty established in China.	-1046	-256
Nok culture  in West Africa.	-1500	-1
The second stream of Bantu expansion reaches the great lakes region of Africa, creating a major population centre.	-1000	
Approximate date for the composition of the Iliad and the Odyssey.	-890	
Foundation of Carthage by the Phoenicians in today known Tunisia.	-814	
Rise of Greek city-states.	-800	
Iron Age begins in Sungai Batu (Old Kedah).	-788	
Kingdom of Kush.	-785	350
Ancient Olympic Games.	-776	393
Spring and Autumn period begins in China; Zhou dynasty's power is diminishing; the era of the Hundred Schools of Thought.	-771	
Founding of Rome (traditional date).	-753	
Tiglath-Pileser III becomes the new king of Assyria. With time he conquers neighboring countries and turns Assyria into an empire.	-745	-727
Median Empire in Iran.	-678	-549
The construction of Marib Dam in Arabia Felix, in modern Saudi Arabia and Yemen.	-700	
Achaemenid dynasty in Persia.	-705	-330
The Urewe culture dominates the African Great Lakes region. It was one of Africa's oldest iron smelting centres.	-650	-550
An alliance between the Babylonians, Medes, and Scythians succeeds in destroying Nineveh and causing subsequent fall of the Assyrian empire.	-612	
Pandyan kingdom is founded in South India.	-600	
Sixteen Mahajanapadas () emerge in India.	-600	-345
Evidence of writing system appears in Oaxaca used by the Zapotec civilization.	-600	
Sao civilization near Lake Chad.	-600	1600
Siddhartha Gautama (Buddha), founder of Buddhism, born as a prince of the Shakya clan, which ruled parts of Magadha, one of the Mahajanapadas.	-563	-483
Confucius, founder of Confucianism.	-551	-479
Achaemenid Empire by Cyrus the Great.	-550	
Mahavira, founder of Jainism,.	-599	-526
Cyrus the Great overthrows Croesus, King of Lydia.	-546	
Rise of Magadha as the dominant power under Bimbisara.	-544	
The fall of the Neo-Babylonian Empire and liberation of the Jews by Cyrus the Great.	-539	
Death of Cyrus the Great.	-529	
Cambyses II of Persia conquers Ancient Egypt.	-525	
Darius I (Darius the Great) of Persia, subjugates eastern Thrace, Macedonia submits voluntarily, and annexes the Libyan Kingdom, Persian Empire at largest extent.	-512	
Expulsion of Lucius Tarquinius Superbus, founding of Roman Republic (traditional date).	-509	
Athenian democracy instituted at the Republic of Athens.	-508	
Panini standardizes the grammar and morphology of Sanskrit in the text Ashtadhyayi. Panini's standardized Sanskrit is known as Classical Sanskrit.	-500	
King Aristagoras of Miletus incites all of Hellenic Asia Minor to rebel against the Persian Empire, beginning the Greco-Persian Wars.	-499	-449
Greek city-states defeat Persian invasion at Battle of Marathon.	-490	
Persian invasion of Greece by Xerxes I; Battles of Thermopylae and Salamis.	-480	
Warring States period begins in China as the Zhou king became a mere figurehead; China is annexed by regional warlords.	-475	
Socrates of Athens.	-470	-399
Murder of Xerxes I.	-465	
Birth of Democritus of Abdera.	-460	-370
The Oresteia by Aeschylus, the only surviving trilogy of ancient Greek plays, is performed.	-458	
Building of the Parthenon at Athens.	-447	-432
Construction of the Parthenon is completed.		
Beginning of the Peloponnesian War between the Greek city-states.	-431	
Sophocles's play Oedipus Rex is first performed.	-429	
Birth of Plato.	-427	
Nanda dynasty comes to power in Magadha.	-424	
End of the Peloponnesian War.	-404	
Zapotec culture flourishes around city of Monte Albán.	-400	
Rise of the Garamantes as an irrigation-based desert state in the Fezzan region of Libya.	-400	
Death of Socrates.	-399	
Birth of Aristotle.	-384	
Death of Democritus.	-370	
Alexander the Great defeats Darius III of Persia in the Battle of Gaugamela, completing his conquest of Persia.	-331	
Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes River.	-326	
Death of Alexander the Great at Babylon.	-323	
Death of Aristotle.	-322	
Chandragupta Maurya overthrows the Nanda dynasty of Magadha.	-321	
Establishment of the Seleucid Empire by Seleucus I Nicator. The empire existed until -63.	-321	
Chandragupta Maurya seizes the satrapies of Paropamisadae (Kabul), Aria (Herat), Arachosia (Qanadahar) and Gedrosia (Baluchistan) from Seleucus I Nicator, the Macedonian satrap of Babylonia, in return for 500 elephants.	-305	
Completion of Euclid's Elements.	-300	
Pingala uses zero and binary numeral system.	-300	
Sangam literature (Tamil: சங்க இலக்கியம், Canka ilakkiyam) period in the history of ancient southern India (known as the Tamilakam)	-300	
Chola Empire forms in South India.	-300	
Construction of the Great Pyramid of Cholula, the world's largest pyramid by volume (the Great Pyramid of Giza built -2560 Egypt stands 146.5 meters, making it 91.5 meters taller), begins in Cholula, Puebla, Mexico.	-300	
Ashoka becomes the emperor of the Maurya Empire.	-273	
Kalinga War.	-261	
An Dương Vương takes over Việt Nam (then Kingdom of Âu Lạc).	-257	
Ashoka sends a Buddhist missionary led by his son who was Mahinda Thero (Buddhist monk) to Sri Lanka (then Lanka) Mahinda (Buddhist monk).	-255	
Rise of Parthia (Ashkâniân), the second native dynasty of ancient Persia.	-250	
Death of Emperor Ashoka; Decline of the Mauryan Empire.	-232	
Emergence of Satavahana in South India.	-230	
Qin Shi Huang unifies China, end of Warring States period; marking the beginning of Imperial rule in China which lasts until 1912. Construction of the Great Wall by the Qin dynasty begins.	-221	
Battle of Cannae - Rome defeated in major battle in the second Punic War.	-216	
Kingdom of Nanyue extends from Guangzhou to North Việt Nam .	-207	
Han dynasty established in China, after the death of Qin Shi Huang; China in this period officially becomes a Confucian state and opens trading connections with the West, i.e. the Silk Road.	-206	
Scipio Africanus defeats Hannibal at Battle of Zama.	-202	
El Mirador, largest early Maya city, flourishes.	-200	
Paper is invented in the Han dynasty.	-200	
Chera dynasty in South India.	-200	
Shunga Empire founded.	-185	
Maccabean Revolt.	-167	-160
Third Punic War between Rome and Carthage. War ends with the complete destruction of Carthage, allowing Rome to conquer modern day Tunisia and Libya.	-149	-146
Roman conquest of Greece, see Roman Greece.	-146	
Eucratides I dies; Greco-Bactrian Kingdom collapses. Remnants move southwards to form the Indo-Greek Kingdom.	-145	
Roman armies enter Gaul for the first time.	-121	
First Chinese domination of Việtnam in the form of the Nanyue Kingdom.	-111	
Chola dynasty rises in prominence.	-100	
Bantu speaking communities in the great lakes region of Africa develop iron forging techniques that enable them to produce carbon steel.	-100	100
The earliest Bantu settlements in the Swahili coast appear on the archaeological record in Kwale County in Kenya, Misasa in Tanzania and Ras Hafun in Somalia.	-100	300
Burebista becomes the king of Dacia.	-82	
Death of Spartacus. End of the Third Servile War, a major slave uprising against the Roman Republic.	-71	
The Siege of Jerusalem leads to the conquest of Judea by the Romans.	-63	
Burebista conquers territories from south Germany to Thrace, reaching the coast of the Aegean sea.	-60	-44
Roman Civil War between Julius Caesar and Pompey the Great.	-49	
Julius Caesar murdered by Marcus Brutus and others; End of Roman Republic; beginning of Roman Empire.	-44	
Burebista is assassinated in the same year like Julius Caesar and his empire breaks into 4 and later 5 kingdoms in modern-day Romania.	-44	
Battle of Actium. The Roman conquest of Ptolemaic Egypt.	-31	-30
Cleopatra ends her reign as the last active ruler of the Ptolemaic Kingdom of Egypt.	-30	
Formation of Roman Empire: Augustus is given titles of Princeps and Augustus by Roman Senate – beginning of Pax Romana. Formation of influential Praetorian Guard to provide security to Emperor.	-27	
Amanirenas, the kandake (Queen) of the Kingdom of Kush, leads Kushite armies against the Romans.	-27	-22
Three Kingdoms period begins in Korea. Herod's Temple is reconstructed.	-18	
Earliest theorized date for birth of Jesus of Nazareth. Roman succession: Gaius Caesar and Lucius Caesar groomed for the throne.	-6	
Widely accepted date (Ussher) for birth of Jesus Christ.	-4	
The Periplus of the Erythrean Sea, a Graeco-Roman manuscript is written. It describes an established Indian Ocean Trade route.	1	50
Battle of the Teutoburg Forest, the Imperial Roman Army's bloodiest defeat.	9	
Death of Roman Emperor Augustus Caesar (Octavian), ascension of his adopted son Tiberius to the throne.	14	
Crucifixion of Jesus Christ, exact date unknown.	26	34
Death of Emperor Tiberius, ascension of his nephew Caligula to the throne.	37	
Rome conquers Mauretania.	40	
Emperor Caligula is assassinated by the Roman senate. His uncle Claudius succeeds him.	41	
The Roman Empire enters Great Britain for the first time.	43	
Emperor Claudius dies and is succeeded by his grand nephew Nero.	54	
Emperor Nero commits suicide, prompting the Year of the Four Emperors in Rome.	68	
Destruction of Jerusalem by the armies of Titus.	70	
Destruction of Pompeii by the volcano Vesuvius.	79	
After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him.	98	
Kingdom of Aksum forms in the Horn of Africa.	100	940
Roman Empire at largest extent under Trajan after having conquered modern-day Romania, Iraq and Armenia.	106	117
Trajan dies of natural causes. His adopted son Hadrian succeeds him. Hadrian pulls out of Iraq and Armenia.	117	
Construction of Hadrian's Wall begins.	122	
Hadrian completes the Roman Pantheon.	126	
Hadrian dies of natural causes. His adopted son Antoninus Pius succeeds him.	138	
Death of Antoninus Pius. His rule was the only one in which Rome did not fight in a war.	161	
Marcus Aurelius becomes emperor of the Roman Empire.	161	
Reign of Marcus Aurelius officially ends.	180	
Commodus becomes Roman Emperor.	180	181
Kingdom of Champa in Tay Nguyen.	192	
The Buddhist Srivijaya Empire established in Maritime Southeast Asia.	3 minutes, 20 seconds	
Three Kingdoms period begins in China after the fall of Han dynasty.	220	
Fall of the Parthian Empire and Rise of the Sassanian Empire.	226	
Defeat of Gordian III (238–244), Philip the Arab (244–249), and Emperor Valerian (253–260), by Shapur I of Persia (Valerian was captured by the Persians).	238	
Emperor Wu of Jin established the First Jin dynasty providing a temporary unity of China after the devastating Three Kingdoms period.	280	
Diocletian becomes emperor of Rome and splits the Roman Empire into Eastern and Western Roman Empires.	285	
Diocletian begins a large-scale persecution of Christians.	285	
The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan).	292	
Growth of Azanian and Zanj settlements in the Swahili coast. Local industry and international trade flourish.	300	1000
Diocletian's edict on maximum prices.	301	
Armenia first to adopt Christianity as state religion.	301	
Edict of Milan declared that the Roman Empire would tolerate all forms of religious worship.	313	
Emperor Min of Jin executed, with northern China then controlled by various kingdoms founded by non-Han people. The Jin dynasty continues to rule the south.	316	
Constantine I organizes the First Council of Nicaea.	325	
Constantinople is officially named and becomes the capital of the eastern Roman Empire.	330	
Samudragupta becomes the emperor of the Gupta empire.	335	
Emperor Constantine I dies, leaving his sons Constantius II, Constans I, and Emperor Constantine II as the emperors of the Roman empire.	337	
Constantius II is left sole emperor with the death of his two brothers.	350	
Birth of Augustine of Hippo.	354	
Constantius II dies, his cousin Emperor Julian succeeds him.	361	
Battle of Adrianople, Roman army is defeated by the Germanic tribes.	378	
Roman Emperor Theodosius I declares the Arian faith of Christianity heretical.	380	
Theodosius I outlaws all religions other than Catholic Christianity.	395	
Romans are expelled from Britain.	406	
Visigoths and other Germanic tribes cross into Roman-Gaul for the first time.	407	409
Visigoths sack Rome in 410 for the first time since -390.	410	
Germanic tribes enter Spain.	415	
The general Liu Yu usurps the Jin in southern China, beginning the Liu Song dynasty.	420	
Vandals enter North Africa from Spain for the first time.	429	
Vandals have conquered the land stretching from Morocco to Tunisia by this time.	439	
The Northern Wei dynasty unites northern China, beginning the Northern and Southern dynasties period.	439	
Vandals sack Rome, capture Sicily and Sardinia.	455	
Skandagupta repels a Huna people attack on India.	455	
Romulus Augustulus, last Western Roman Emperor is forced to abdicate by Odoacer, a chieftain of the Germanic Heruli; Odoacer returns the imperial regalia to Eastern Roman Emperor Zeno in Constantinople in return for the title of dux of Italy; most frequently cited date for the end of ancient history.
